order_id,customer_name,product,quantity,price,order_date,status
1001,Alice,Widget A,5,29.99,2026-09-01,completed
1002,Bob,Widget B,3,49.99,2026-09-01,completed
1003,Charlie,Widget A,10,29.99,2026-09-02,pending
1004,Diana,Widget C,2,99.99,2026-09-02,completed
1005,Eve,Widget B,7,49.99,2026-09-03,cancelled
1006,Frank,Widget A,4,29.99,2026-09-03,completed
1007,Grace,Widget D,1,149.99,2026-09-04,pending
1008,Henry,Widget A,6,29.99,2026-09-04,completed
1009,Ivy,Widget C,3,99.99,2026-09-05,completed
1010,Jack,Widget B,8,49.99,2026-09-05,completed
